date, coordinates,wasRead,whenWasRead
2019-06-04T00:00:00.00Z,Mark 6:6b-29,FALSE,
2019-06-05T00:00:00.00Z,Proverbs 5:15-23,FALSE,
2019-06-06T00:00:00.00Z,Exodus 31:1-33:6,FALSE,
2019-06-07T00:00:00.00Z,Mark 6:30-56,FALSE,
2019-06-08T00:00:00.00Z,Psalm 25:1-7,FALSE,
2019-06-09T00:00:00.00Z,Exodus 33:7-34:35,FALSE,
2019-06-10T00:00:00.00Z,Mark 7:1-30,FALSE,
2019-06-11T00:00:00.00Z,Psalm 25:8-15,FALSE,
2019-06-12T00:00:00.00Z,Exodus 35-36,FALSE,
2019-06-13T00:00:00.00Z,Mark 7:31-8:13,FALSE,
2019-06-14T00:00:00.00Z,Psalm 25:16-22,FALSE,
2019-06-15T00:00:00.00Z,Exodus 37-38,FALSE,
2019-06-16T00:00:00.00Z,Mark 8:14-9:1,FALSE,
2019-06-17T00:00:00.00Z,Proverbs 6:1-11,FALSE,
2019-06-18T00:00:00.00Z,Exodus 39-40,FALSE,
2019-06-19T00:00:00.00Z,Mark 9:2-32,FALSE,
2019-06-20T00:00:00.00Z,Psalm 26,FALSE,
2019-06-21T00:00:00.00Z,Leviticus 1-2,FALSE,
2019-06-22T00:00:00.00Z,Mark 9:33-10:12,FALSE,
2019-06-23T00:00:00.00Z,Psalm 27:1-6,FALSE,
2019-06-24T00:00:00.00Z,Leviticus 3-4,FALSE,
2019-06-25T00:00:00.00Z,Mark 10:13-31,FALSE,
2019-06-26T00:00:00.00Z,Psalm 27:7-14,FALSE,
2019-06-27T00:00:00.00Z,Leviticus 5:1-7:10,FALSE,
2019-06-28T00:00:00.00Z,Mark 10:32-52,FALSE,
2019-06-29T00:00:00.00Z,Proverbs 6:12-19,FALSE,
2019-06-30T00:00:00.00Z,Leviticus 7:11-8:36,FALSE,
2019-07-01T00:00:00.00Z,Mark 11:1-26,FALSE,
2019-07-02T00:00:00.00Z,Psalm 28,FALSE,
2019-07-03T00:00:00.00Z,Leviticus 9-10,FALSE,
2019-07-04T00:00:00.00Z,Mark 11:27-12:12,FALSE,
2019-07-05T00:00:00.00Z,Psalm 29,FALSE,
2019-07-06T00:00:00.00Z,Leviticus 11-12,FALSE,
2019-07-07T00:00:00.00Z,Mark 12:13-27,FALSE,
2019-07-08T00:00:00.00Z,Psalm 30:1-7,FALSE,
2019-07-09T00:00:00.00Z,Leviticus 13,FALSE,
2019-07-10T00:00:00.00Z,Mark 12:28-44,FALSE,
2019-07-11T00:00:00.00Z,Proverbs 6:20-29,FALSE,
2019-07-12T00:00:00.00Z,Leviticus 14,FALSE,
2019-07-13T00:00:00.00Z,Mark 13:1-31,FALSE,
2019-07-14T00:00:00.00Z,Psalm 30:8-12,FALSE,
2019-07-15T00:00:00.00Z,Leviticus 15-16,FALSE,
2019-07-16T00:00:00.00Z,Mark 13:32-14:16,FALSE,
2019-07-17T00:00:00.00Z,Psalm 31:1-8,FALSE,
2019-07-18T00:00:00.00Z,Leviticus 17-18,FALSE,
2019-07-19T00:00:00.00Z,Mark 14:17-42,FALSE,
2019-07-20T00:00:00.00Z,Psalm 31:9-18,FALSE,
2019-07-21T00:00:00.00Z,Leviticus 19-20,FALSE,
2019-07-22T00:00:00.00Z,Mark 14:43-72,FALSE,
2019-07-23T00:00:00.00Z,Proverbs 6:30-35,FALSE,
2019-07-24T00:00:00.00Z,Leviticus 21-22,FALSE,
2019-07-25T00:00:00.00Z,Mark 15:1-32,FALSE,
2019-07-26T00:00:00.00Z,Psalm 31:19-24,FALSE,
2019-07-27T00:00:00.00Z,Leviticus 23-24,FALSE,
2019-07-28T00:00:00.00Z,Mark 15:33-47,FALSE,
2019-07-29T00:00:00.00Z,Psalm 32,FALSE,
2019-07-30T00:00:00.00Z,Leviticus 25:1-26:13,FALSE,
2019-07-31T00:00:00.00Z,Mark 16,FALSE,
2019-08-01T00:00:00.00Z,Psalm 33:1-11,FALSE,
2019-08-02T00:00:00.00Z,Leviticus 26:14-27:34,FALSE,
2019-08-03T00:00:00.00Z,Luke 1:1-25,FALSE,
2019-08-04T00:00:00.00Z,Proverbs 7:1-9,FALSE,
2019-08-05T00:00:00.00Z,Numbers 1:1-2:9,FALSE,
2019-08-06T00:00:00.00Z,Luke 1:26-38,FALSE,
2019-08-07T00:00:00.00Z,Psalm 33:12-22,FALSE,
2019-08-08T00:00:00.00Z,Numbers 2:10-3:51,FALSE,
2019-08-09T00:00:00.00Z,Luke 1:39-56,FALSE,
2019-08-10T00:00:00.00Z,Psalm 34:1-10,FALSE,
2019-08-11T00:00:00.00Z,Numbers 4:1-5:10,FALSE,
2019-08-12T00:00:00.00Z,Luke 1:57-80,FALSE,
2019-08-13T00:00:00.00Z,Psalm 34:11-22,FALSE,
2019-08-14T00:00:00.00Z,Numbers 5:11-6:27,FALSE,
2019-08-15T00:00:00.00Z,Luke 2:1-20,FALSE,
2019-08-16T00:00:00.00Z,Proverbs 7:10-20,FALSE,
2019-08-17T00:00:00.00Z,Numbers 7:1-65,FALSE,
2019-08-18T00:00:00.00Z,Luke 2:21-40,FALSE,
2019-08-19T00:00:00.00Z,Psalm 35:1-10,FALSE,
2019-08-20T00:00:00.00Z,Numbers 7:66-9:14,FALSE,
2019-08-21T00:00:00.00Z,Luke 2:41-52,FALSE,
2019-08-22T00:00:00.00Z,Psalm 35:11-18,FALSE,
2019-08-23T00:00:00.00Z,Numbers 9:15-11:23,FALSE,
2019-08-24T00:00:00.00Z,Luke 3:1-22,FALSE,
2019-08-25T00:00:00.00Z,Psalm 35:19-28,FALSE,
2019-08-26T00:00:00.00Z,Numbers 11:24-13:33,FALSE,
2019-08-27T00:00:00.00Z,Luke 3:23-4:13,FALSE,
2019-08-28T00:00:00.00Z,Proverbs 7:21-27,FALSE,
2019-08-29T00:00:00.00Z,Numbers 14:1-15:21,FALSE,
2019-08-30T00:00:00.00Z,Luke 4:14-37,FALSE,
2019-08-31T00:00:00.00Z,Psalm 36,FALSE,
2019-09-01T00:00:00.00Z,Numbers 15:22-16:35,FALSE,
2019-09-02T00:00:00.00Z,Luke 4:38-5:16,FALSE,
2019-09-03T00:00:00.00Z,Psalm 37:1-9,FALSE,
2019-09-04T00:00:00.00Z,Numbers 16:36-18:32,FALSE,
2019-09-05T00:00:00.00Z,Luke 5:17-32,FALSE,
2019-09-06T00:00:00.00Z,Psalm 37:10-20,FALSE,
2019-09-07T00:00:00.00Z,Numbers 19:1-21:3,FALSE,
2019-09-08T00:00:00.00Z,Luke 5:33-6:11,FALSE,
2019-09-09T00:00:00.00Z,Proverbs 8:1-11,FALSE,
2019-09-10T00:00:00.00Z,Numbers 21:4-22:20,FALSE,
2019-09-11T00:00:00.00Z,Luke 6:12-36,FALSE,
2019-09-12T00:00:00.00Z,Psalm 37:21-31,FALSE,
2019-09-13T00:00:00.00Z,Numbers 22:21-23:30,FALSE,
2019-09-14T00:00:00.00Z,Luke 6:37-7:10,FALSE,
2019-09-15T00:00:00.00Z,Psalm 37:32-40,FALSE,
2019-09-16T00:00:00.00Z,Numbers 24:1-26:11,FALSE,
2019-09-17T00:00:00.00Z,Luke 7:11-35,FALSE,
2019-09-18T00:00:00.00Z,Psalm 38,FALSE,
2019-09-19T00:00:00.00Z,Numbers 26:12-27:11,FALSE,
2019-09-20T00:00:00.00Z,Luke 7:36-50,FALSE,
2019-09-21T00:00:00.00Z,Proverbs 8:12-21,FALSE,
2019-09-22T00:00:00.00Z,Numbers 27:12-31:24,FALSE,
2019-09-23T00:00:00.00Z,Luke 8:1-39,FALSE,
2019-09-24T00:00:00.00Z,Psalm 39,FALSE,
2019-09-25T00:00:00.00Z,Numbers 31:25-32:42,FALSE,
2019-09-26T00:00:00.00Z,Luke 8:40-9:9,FALSE,
2019-09-27T00:00:00.00Z,Psalm 40:1-8,FALSE,
2019-09-28T00:00:00.00Z,Numbers 33-34,FALSE,
2019-09-29T00:00:00.00Z,Luke 9:10-27,FALSE,
2019-09-30T00:00:00.00Z,Proverbs 8:22-31,FALSE,
2019-10-01T00:00:00.00Z,Numbers 35-36,FALSE,
2019-10-02T00:00:00.00Z,Luke 9:28-56,FALSE,
2019-10-03T00:00:00.00Z,Psalm 40:9-17,FALSE,
2019-10-04T00:00:00.00Z,Deuteronomy 1-2,FALSE,
2019-10-05T00:00:00.00Z,Luke 9:57-10:24,FALSE,
2019-10-06T00:00:00.00Z,Psalm 41:1-6,FALSE,
2019-10-07T00:00:00.00Z,Deuteronomy 3-4,FALSE,
2019-10-08T00:00:00.00Z,Luke 10:25-11:4,FALSE,
2019-10-09T00:00:00.00Z,Psalm 41:7-13,FALSE,
2019-10-10T00:00:00.00Z,Deuteronomy 5-6,FALSE,
2019-10-11T00:00:00.00Z,Luke 11:5-32,FALSE,
2019-10-12T00:00:00.00Z,Proverbs 8:32-36,FALSE,
2019-10-13T00:00:00.00Z,Deuteronomy 7-8,FALSE,
2019-10-14T00:00:00.00Z,Luke 11:33-54,FALSE,
2019-10-15T00:00:00.00Z,Psalm 42:1-6a,FALSE,
2019-10-16T00:00:00.00Z,Deuteronomy 9-10,FALSE,
2019-10-17T00:00:00.00Z,Luke 12:1-34,FALSE,
2019-10-18T00:00:00.00Z,Psalm 42:6b-11,FALSE,
2019-10-19T00:00:00.00Z,Deuteronomy 11-12,FALSE,
2019-10-20T00:00:00.00Z,Luke 12:35-59,FALSE,
2019-10-21T00:00:00.00Z,Psalm 43,FALSE,
2019-10-22T00:00:00.00Z,Deuteronomy 13-14,FALSE,
2019-10-23T00:00:00.00Z,Luke 13:1-30,FALSE,
2019-10-24T00:00:00.00Z,Proverbs 9:1-12,FALSE,
2019-10-25T00:00:00.00Z,Deuteronomy 15:1-16:20,FALSE,
2019-10-26T00:00:00.00Z,Luke 13:31-14:14,FALSE,
2019-10-27T00:00:00.00Z,Psalm 44:1-12,FALSE,
2019-10-28T00:00:00.00Z,Deuteronomy 16:21-18:22,FALSE,
2019-10-29T00:00:00.00Z,Luke 14:15-35,FALSE,
2019-10-30T00:00:00.00Z,Psalm 44:13-26,FALSE,
2019-10-31T00:00:00.00Z,Deuteronomy 19-20,FALSE,
2019-11-01T00:00:00.00Z,Luke 15,FALSE,
2019-11-02T00:00:00.00Z,Psalm 45:1-9,FALSE,
2019-11-03T00:00:00.00Z,Deuteronomy 21-22,FALSE,
2019-11-04T00:00:00.00Z,Luke 16:1-18,FALSE,
2019-11-05T00:00:00.00Z,Proverbs 9:13-18,FALSE,
2019-11-06T00:00:00.00Z,Deuteronomy 23-25,FALSE,
2019-11-07T00:00:00.00Z,Luke 16:19-17:10,FALSE,
2019-11-08T00:00:00.00Z,Psalm 45:10-17,FALSE,
2019-11-09T00:00:00.00Z,Deuteronomy 26:1-28:14,FALSE,
2019-11-10T00:00:00.00Z,Luke 17:11-37,FALSE,
2019-11-11T00:00:00.00Z,Psalm 46,FALSE,
2019-11-12T00:00:00.00Z,Deuteronomy 28:15-68,FALSE,
2019-11-13T00:00:00.00Z,Luke 18:1-30,FALSE,
2019-11-14T00:00:00.00Z,Psalm 47,FALSE,
2019-11-15T00:00:00.00Z,Deuteronomy 29:1-30:10,FALSE,
2019-11-16T00:00:00.00Z,Luke 18:31-19:10,FALSE,
2019-11-17T00:00:00.00Z,Proverbs 10:1-10,FALSE,
2019-11-18T00:00:00.00Z,Deuteronomy 30:11-31:30,FALSE,
2019-11-19T00:00:00.00Z,Luke 19:11-44,FALSE,
2019-11-20T00:00:00.00Z,Psalm 48:1-8,FALSE,
2019-11-21T00:00:00.00Z,Deuteronomy 32,FALSE,
2019-11-22T00:00:00.00Z,Luke 19:45-20:26,FALSE,
2019-11-23T00:00:00.00Z,Psalm 48:9-14,FALSE,
2019-11-24T00:00:00.00Z,Deuteronomy 33-34,FALSE,
2019-11-25T00:00:00.00Z,Luke 20:27-21:4,FALSE,
2019-11-26T00:00:00.00Z,Psalm 49,FALSE,
2019-11-27T00:00:00.00Z,Joshua 1-2,FALSE,
2019-11-28T00:00:00.00Z,Luke 21:5-38,FALSE,
2019-11-29T00:00:00.00Z,Proverbs 10:11-20,FALSE,
2019-11-30T00:00:00.00Z,Joshua 3:1-5:12,FALSE,
2019-12-01T00:00:00.00Z,Luke 22:1-38,FALSE,
2019-12-02T00:00:00.00Z,Psalm 50:1-15,FALSE,
2019-12-03T00:00:00.00Z,Joshua 5:13-7:26,FALSE,
2019-12-04T00:00:00.00Z,Luke 22:39-62,FALSE,
2019-12-05T00:00:00.00Z,Psalm 50:16-23,FALSE,
2019-12-06T00:00:00.00Z,Joshua 8:1-9:15,FALSE,
2019-12-07T00:00:00.00Z,Luke 22:63-23:25,FALSE,
2019-12-08T00:00:00.00Z,Psalm 51:1-9,FALSE,
2019-12-09T00:00:00.00Z,Joshua 9:16-10:43,FALSE,
2019-12-10T00:00:00.00Z,Luke 23:26-56,FALSE,
2019-12-11T00:00:00.00Z,Proverbs 10:21-30,FALSE,
2019-12-12T00:00:00.00Z,Joshua 11-12,FALSE,
2019-12-13T00:00:00.00Z,Luke 24:1-35,FALSE,
2019-12-14T00:00:00.00Z,Psalm 51:10-19,FALSE,
2019-12-15T00:00:00.00Z,Joshua 13-14,FALSE,
2019-12-16T00:00:00.00Z,Luke 24:36-53,FALSE,
2019-12-17T00:00:00.00Z,Psalm 52,FALSE,
2019-12-18T00:00:00.00Z,Joshua 15,FALSE,
2019-12-19T00:00:00.00Z,John 1:1-28,FALSE,
2019-12-20T00:00:00.00Z,Psalm 53,FALSE,
2019-12-21T00:00:00.00Z,Joshua 16-18,FALSE,
2019-12-22T00:00:00.00Z,John 1:29-51,FALSE,
2019-12-23T00:00:00.00Z,Proverbs 10:31-11:8,FALSE,
2019-12-24T00:00:00.00Z,Joshua 19-20,FALSE,
2019-12-25T00:00:00.00Z,John 2,FALSE,
2019-12-26T00:00:00.00Z,Psalm 54,FALSE,
2019-12-27T00:00:00.00Z,Joshua 21-22,FALSE,
2019-12-28T00:00:00.00Z,John 3:1-21,FALSE,
2019-12-29T00:00:00.00Z,Psalm 55:1-11,FALSE,
2019-12-30T00:00:00.00Z,Joshua 23-24,FALSE,
2019-12-31T00:00:00.00Z,John 3:22-36,FALSE,
